"","state_alpha","county_name","year","variable","category","value","unit_desc"
"1","ID","ADA","2007","TENURE"," (FULL OWNER)",51282,"ACRES"
"2","ID","ADA","2007","TENURE"," (PART OWNER)",129778,"ACRES"
"3","ID","ADA","2007","TENURE"," (TENANT)",10417,"ACRES"
"4","ID","ADA","2007","TENURE"," (FULL OWNER)",1079,"OPERATIONS"
"5","ID","ADA","2007","TENURE"," (PART OWNER)",194,"OPERATIONS"
"6","ID","ADA","2007","TENURE"," (TENANT)",50,"OPERATIONS"
"7","ID","ADA","2007","AREA OPERATED"," (1,000 TO 1,999 ACRES)",26099,"ACRES"
"8","ID","ADA","2007","AREA OPERATED"," (1.0 TO 9.9 ACRES)",2618,"ACRES"
"9","ID","ADA","2007","AREA OPERATED"," (10.0 TO 49.9 ACRES)",11411,"ACRES"
"10","ID","ADA","2007","AREA OPERATED"," (100 TO 139 ACRES)",5483,"ACRES"
"11","ID","ADA","2007","AREA OPERATED"," (140 TO 179 ACRES)",3076,"ACRES"
"12","ID","ADA","2007","AREA OPERATED"," (180 TO 219 ACRES)",2008,"ACRES"
"13","ID","ADA","2007","AREA OPERATED"," (2,000 OR MORE ACRES)",116038,"ACRES"
"14","ID","ADA","2007","AREA OPERATED"," (220 TO 259 ACRES)",1901,"ACRES"
"15","ID","ADA","2007","AREA OPERATED"," (260 TO 499 ACRES)",7592,"ACRES"
"16","ID","ADA","2007","AREA OPERATED"," (50.0 TO 69.9 ACRES)",2707,"ACRES"
"17","ID","ADA","2007","AREA OPERATED"," (500 TO 999 ACRES)",9314,"ACRES"
"18","ID","ADA","2007","AREA OPERATED"," (70.0 TO 99.9 ACRES)",3230,"ACRES"
"19","ID","ADA","2007","AREA OPERATED"," (1,000 OR MORE ACRES)",32,"OPERATIONS"
"20","ID","ADA","2007","AREA OPERATED"," (1,000 TO 1,999 ACRES)",18,"OPERATIONS"
"21","ID","ADA","2007","AREA OPERATED"," (1.0 TO 9.9 ACRES)",511,"OPERATIONS"
"22","ID","ADA","2007","AREA OPERATED"," (10.0 TO 49.9 ACRES)",573,"OPERATIONS"
"23","ID","ADA","2007","AREA OPERATED"," (100 TO 139 ACRES)",48,"OPERATIONS"
"24","ID","ADA","2007","AREA OPERATED"," (140 TO 179 ACRES)",19,"OPERATIONS"
"25","ID","ADA","2007","AREA OPERATED"," (180 TO 219 ACRES)",10,"OPERATIONS"
"26","ID","ADA","2007","AREA OPERATED"," (180 TO 499 ACRES)",40,"OPERATIONS"
"27","ID","ADA","2007","AREA OPERATED"," (2,000 OR MORE ACRES)",14,"OPERATIONS"
"28","ID","ADA","2007","AREA OPERATED"," (220 TO 259 ACRES)",8,"OPERATIONS"
"29","ID","ADA","2007","AREA OPERATED"," (260 TO 499 ACRES)",22,"OPERATIONS"
"30","ID","ADA","2007","AREA OPERATED"," (50 TO 179 ACRES)",154,"OPERATIONS"
"31","ID","ADA","2007","AREA OPERATED"," (50.0 TO 69.9 ACRES)",48,"OPERATIONS"
"32","ID","ADA","2007","AREA OPERATED"," (500 TO 999 ACRES)",13,"OPERATIONS"
"33","ID","ADA","2007","AREA OPERATED"," (70.0 TO 99.9 ACRES)",39,"OPERATIONS"
